"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"LM78XXV";1;"7805";;;
2;"SW1";"SW-PB";1;"RST";;;
3;"R3,R2";"R_0805_HandSoldering";2;"300E";;;
4;"R1";"R_0805_HandSoldering";1;"10k";;;
5;"P4,P3,P1,P2";"vite_3mm";4;"CONN_1";;;
6;"J1";"JACK_ALIM";1;"BARREL_JACK";;;
7;"H9";"Header_ICSP";1;"ISP";;;
8;"H7";"Socket_Strip_Straight_1x08";1;"IO_H";;;
9;"H6";"Socket_Strip_Straight_1x08";1;"IO_L";;;
10;"H4";"Socket_Strip_Straight_1x06";1;"ANALOG";;;
11;"H2";"Socket_Strip_Straight_1x06";1;"Power";;;
12;"H1";"Header_3";1;"V_SEL";;;
13;"D3";"LED-3MM";1;"Blink";;;
14;"D2";"LED-3MM";1;"PWR";;;
15;"C8,C7";"C_0805_HandSoldering";2;"22pF";;;
16;"C6,C5,C4,C3,C1";"C_0805_HandSoldering";5;"100n";;;
17;"U2";"DIP-28__300_ELL_ZIF";1;"ATMEGA328-P";;;
18;"H8";"Header_FTDI";1;"FTDI";;;
19;"J2";"USB_B_Micro";1;"USB-Micro";;;
20;"X1";"Crystal_HC49-U_Vertical_3Pin";1;"16MHz";;;
21;"D1";"Diode_DO-41_SOD81_Vertical_KathodeUp";1;"1N4007";;;
22;"H5";"Header_A_REF";1;"AREF";;;
23;"G***";"MA_Logo";1;"LOGO";;;
24;"G***";"MA_Logo2";1;"LOGO";;;
25;"C2";"Elko_vert_11.2x6.3mm_RM2.5";1;"100u";;;
